Month,Count,Volume,OL $,SOLD_PRICE,S to OL,SQ FT,$/SQ FT,Beds,Baths,CDOM
Jan-12,252,54451067,199900,183950,0.920210105,2679.5,70.68,4,3,86
Feb-12,306,67653746,201950,192700,0.954196583,2877,69.54,4,3,78.5
Mar-12,372,80545148,195900,187950,0.95941807,2621.5,72.83,4,3,75
Apr-12,387,89153925,204990,200000,0.975657349,2799,75.43,4,3,66
May-12,445,103010603,199900,195465,0.977813907,2800,75.03,4,3,54
Jun-12,433,97629646,199900,195000,0.975487744,2689,76.9,4,3,42
Jul-12,414,94859161,209900,205000,0.97665555,2792.5,78.06,4,3,41.5
Aug-12,481,113914700,219900,214000,0.973169623,2795,78.52,4,3,56
Sep-12,441,111457103,216900,211000,0.972798525,2884,77.69,4,3,47
Oct-12,414,97342243,219900,212000,0.964074579,2777.5,79.65,4,3,53.5
Nov-12,389,88583826,217900,207000,0.949977054,2700,79.23,4,3,55
Dec-12,352,86554793,208750,202000,0.967664671,2702,78.96,4,3,58.5
Jan-13,323,76208505,217000,209000,0.963133641,2750,80,4,3,53
Feb-13,304,75440043,223369.5,220950,0.989168172,2865,80.28,4,3,45.5
Mar-13,375,89748269,217000,213000,0.98156682,2632,82.3,4,3,50
Apr-13,430,100181018,215500,214950,0.997447796,2565,86.58,4,3,28
May-13,535,143148469,230000,228500,0.993478261,2728,87.17,4,3,26
Jun-13,532,139349942,229900,229950,1.000217486,2694,89.83,4,3,23
Jul-13,524,144888113,243700,244302.5,1.002472302,2766,89.92,4,3,26
Aug-13,515,138518856,238900,237500,0.994139807,2704,90.33,4,3,28
Sep-13,434,114347487,234900,232940,0.991656024,2665,89.5,4,3,28
Oct-13,402,104381283,234895,231000,0.983418123,2634,89.61,4,3,40
Nov-13,363,94124433,239900,235000,0.979574823,2688,87.75,4,3,37
Dec-13,367,94523586,238900,235000,0.983675178,2706,89.64,4,3,51
Jan-14,272,71415115,239900,230500,0.960817007,2754,86.7,4,3,67
Feb-14,332,82522183,234900,228000,0.970625798,2655,91.27,4,3,62
Mar-14,425,119691764,239990,233000,0.970873786,2750,89.46,4,3,57
Apr-14,446,114716816,239900,234950,0.979366403,2564,90.61,4,3,48.5
May-14,531,140870467,244000,236000,0.967213115,2606,92.38,4,3,34
Jun-14,465,127906901,254900,246900,0.968615143,2786,95.24,4,3,41
Jul-14,513,150706911,264900,255000,0.962627407,2812,94.39,4,3,36
Aug-14,586,165939235,259560.5,249949.5,0.962972024,2749.5,94.19,4,3,41.5
Sep-14,448,116539659,239999,235000,0.979170747,2602,92.83,4,3,45
Oct-14,502,140489647,249900,244500,0.978391357,2667.5,95.45,4,3,44.5
Nov-14,445,118794544,249000,240000,0.963855422,2693,93.03,4,3,48
Dec-14,423,120835918,264900,256000,0.966402416,2783,94.04,4,3,51
Jan-15,291,85481404,254900,241000,0.945468811,2739,92.88,4,3,60
Feb-15,375,101123136,259000,250000,0.965250965,2802,92.56,4,3,56
Mar-15,503,139563375,258600,250000,0.966744006,2750,95.34,4,3,42
Apr-15,579,160426810,251496,251320,0.999300188,2727,97.58,4,3,22
May-15,565,161370734,269900,264900,0.98147462,2798,97.52,4,3,24
Jun-15,710,213657091,269925,269900,0.999907382,2842,99.34,4,3,21
Jul-15,665,197035850,269900,265000,0.981845128,2737,98.95,4,3,23
Aug-15,620,186073266,275000,272500,0.990909091,2798,100.13,4,3,24
Sep-15,589,176590269,274950,267900,0.974358974,2790,100.26,4,3,29
Oct-15,506,152765455,274500,270000,0.983606557,2813.5,99.82,4,3,30
Nov-15,386,115151028,279000,273273,0.979473118,2787,99.88,4,3,27
Dec-15,487,149167211,279900,274000,0.978921043,2760,100.45,4,3,28
Jan-16,353,104056841,274150,265000,0.966624111,2706,101.5,4,3,33
Feb-16,401,120503070,277900,270000,0.971572508,2786,101.15,4,3,34
Mar-16,532,158462662,278700,269950,0.968604234,2693,102.6,4,3,22
Apr-16,541,164169142,284900,278050,0.975956476,2774,103.43,4,3,16
May-16,612,193141879,289900,289900,1,2808.5,104.65,4,3,12
Jun-16,715,227016162,289900,288500,0.995170749,2811,104.78,4,3,12
Jul-16,608,205324454,296250,293500,0.9907173,2836,107.45,4,3,19
Aug-16,698,228760474,308450,304500,0.987194035,2948,106.14,4,3,18
Sep-16,641,206772351,294900,286800,0.972533062,2802,106.64,4,3,20
Oct-16,487,150651268,280000,274500,0.980357143,2677,107.1,4,3,23
Nov-16,524,169845543,294450,284399.5,0.96586687,2685.5,108.41,4,3,25.5
Dec-16,513,163959283,290000,285000,0.982758621,2716,107.86,4,3,34
Jan-17,350,113027677,295995,285000,0.962854102,2748,109.67,4,3,34
Feb-17,378,122241704,297950,288582.5,0.968560161,2735,107.97,4,3,40
