Month,Count,Volume,OL $,SOLD_PRICE,S to OL,SQ FT,$/SQ FT,Beds,Baths,CDOM,PCT
12-Jan,326,64596251,181800,165500,0.910341034,2360,71.84,4,3,93,
12-Feb,370,75757973,185000,180000,0.972972973,2653,71.19,4,3,79,0.087613293
12-Mar,475,94916539,185000,174000,0.940540541,2360,74.58,4,3,77,-0.033333333
12-Apr,487,103539504,189900,185000,0.974196946,2520,77.01,4,3,71,0.063218391
12-May,565,119516591,184500,178000,0.964769648,2444,76.21,4,3,58,-0.037837838
12-Jun,543,113899804,189900,184000,0.968931016,2492,77.58,4,3,41,0.033707865
12-Jul,529,111816586,194900,194000,0.995382247,2544,78.52,4,3,43,0.054347826
12-Aug,595,129532185,199000,194200,0.975879397,2556,80.35,4,3,58,0.001030928
12-Sep,541,126114474,197900,195000,0.985346134,2653,78.6,4,3,49,0.004119464
12-Oct,533,115305565,199900,195000,0.975487744,2460,81.27,4,3,54,0
12-Nov,486,103379555,199000,190000,0.954773869,2528,79.63,4,3,59,-0.025641026
12-Dec,460,102356057,190000,190000,1,2424.5,80.11,4,3,62,0
13-Jan,396,87354956,199900,196675,0.983866933,2433,81.29,4,3,54.5,0.035131579
13-Feb,387,87783799,207900,199900,0.961519962,2520,81.75,4,3,45,0.01639761
13-Mar,467,103635124,199000,193000,0.969849246,2446,82.85,4,3,48,-0.034517259
13-Apr,570,121240215,194950,190000,0.974608874,2285,88.43,3,3,27.5,-0.015544041
13-May,667,163106693,215000,210900,0.980930233,2496,88.34,4,3,26,0.11
13-Jun,674,162040453,214448,211768,0.987502798,2465.5,90.13,4,3,24.5,0.004115695
13-Jul,693,171407040,219000,215500,0.984018265,2436,91,4,3,27,0.017623059
13-Aug,672,162708158,214950,212178,0.987103978,2456,91.73,4,3,28,-0.015415313
13-Sep,572,136152954,214900,211000,0.981852024,2361.5,91.99,4,3,29,-0.005551942
13-Oct,518,122504599,214900,210849,0.981149372,2404.5,92.18,4,3,41.5,-0.00071564
13-Nov,454,109384445,219900,215000,0.977717144,2430,89.21,4,3,39,0.019687075
13-Dec,462,110973535,224900,218000,0.969319698,2543,91.3,4,3,51,0.013953488
14-Jan,352,83548191,219000,206945,0.944954338,2446,89.2,4,3,65,-0.050711009
14-Feb,428,97887817,219500,209000,0.952164009,2361.5,93.52,4,3,63.5,0.009930175
14-Mar,550,139846254,219949.5,214950,0.977269782,2366,91.37,4,3,55,0.0284689
14-Apr,596,140533759,219900,214450,0.975216007,2340,92.73,4,3,45.5,-0.002326122
14-May,678,165529026,224988.5,218500,0.971160748,2393,94.26,4,3,34,0.018885521
14-Jun,620,153695865,229900,225000,0.978686385,2395.5,96.42,4,3,42.5,0.029748284
14-Jul,702,182342797,229900,225250,0.979773815,2454,97.74,4,3,38,0.001111111
14-Aug,755,195390504,237500,230000,0.968421053,2512,95.11,4,3,42,0.02108768
14-Sep,602,142491046,219900,213650,0.97157799,2375,94.91,4,3,47,-0.071086957
14-Oct,643,163799211,229000,220000,0.96069869,2389,96.03,4,3,47,0.029721507
14-Nov,549,136683419,229900,222500,0.967812092,2448,93.72,4,3,48,0.011363636
14-Dec,536,140744181,235002.5,233350,0.99296816,2500,95.73,4,3,52.5,0.048764045
15-Jan,380,100540605,226450,221500,0.97814087,2435,95,4,3,56,-0.050782087
15-Feb,489,120593157,234000,225000,0.961538462,2458,94.36,4,3,56,0.015801354
15-Mar,664,168203735,234950,229950,0.978718876,2442.5,96.73,4,3,39,0.022
15-Apr,776,194926702,228950,225000,0.982747325,2390,98.61,4,3,22,-0.021526419
15-May,761,195087373,233000,230000,0.987124464,2408,99.57,4,3,24,0.022222222
15-Jun,920,251722332,245000,244000,0.995918367,2501,100.86,4,3,21,0.060869565
15-Jul,907,238804770,236900,232400,0.981004643,2360,100.88,4,3,21,-0.047540984
15-Aug,858,229054089,239900,235000,0.979574823,2381,102.35,4,3,22,0.011187608
15-Sep,758,206608414,245450,239950,0.977592178,2474.5,102,4,3,27,0.02106383
15-Oct,669,181382060,242500,239000,0.98556701,2464,101.19,4,3,25,-0.003959158
15-Nov,487,133304787,250000,245220,0.98088,2491,101.75,4,3,25,0.026025105
15-Dec,638,176527517,252950,244810,0.967819727,2474,103.66,4,3,27,-0.001671968
16-Jan,440,119850736,249945,248350,0.993618596,2482,102.45,4,3,30,0.014460194
16-Feb,492,136530793,259700,253890,0.977628032,2520,103.53,4,3,26,0.022307228
16-Mar,721,193489926,245400,243000,0.990220049,2383,105.32,4,3,17,-0.042892591
16-Apr,725,198871645,254500,251500,0.988212181,2469,106.01,4,3,14,0.034979424
16-May,823,233321410,259900,255000,0.981146595,2424,107.62,4,3,11,0.013916501
16-Jun,923,267124254,260000,259000,0.996153846,2522,108.07,4,3,11,0.015686275
16-Jul,833,247378647,259900,255000,0.981146595,2446,110.41,4,3,16,-0.015444015
16-Aug,921,270946602,271260,269900,0.99498636,2538,108,4,3,16,0.058431373
16-Sep,847,247226956,259900,256000,0.984994229,2460,108.81,4,3,18,-0.051500556
16-Oct,659,183754628,255000,250000,0.980392157,2408,109.93,4,3,19,-0.0234375
16-Nov,691,202832256,259999,255000,0.980773003,2352,109.97,4,3,19,0.02
16-Dec,695,200359058,264900,259900,0.981124953,2367,111.2,4,3,27,0.019215686
17-Jan,488,140269849,261900,258520,0.987094311,2362,112.63,4,3,28.5,-0.005309735
17-Feb,506,148843718,264900,260950,0.985088713,2394,109.87,4,3,30,0.00939966
17-Mar,673,195680958,264900,263000,0.992827482,2335,112.41,4,3,16,0.007855911
17-Apr,721,218099795,269990,269900,0.999666654,2396,115.53,4,3,10,0.026235741
17-May,843,254982574,270000,270500,1.001851852,2333,116.9,4,3,10,0.002223046
17-Jun,952,289791315,270000,272800,1.01037037,2318,119.07,4,3,12,0.008502773
17-Jul,791,239825324,277000,276877,0.999555957,2345,119.29,4,3,13,0.014945015
17-Aug,1006,316272209,279000,276995,0.99281362,2321,121.08,4,3,16,0.000426182
17-Sep,875,276309126,275000,274000,0.996363636,2344,120.37,4,3,20,-0.01081247
17-Oct,842,272475528,281700,280000,0.993965211,2413,120.22,4,3,23,0.02189781
17-Nov,764,244976829,285000,281750,0.988596491,2415,119.8,4,3,32,0.00625
17-Dec,712,216861118,279550,274950,0.983544983,2400,121.58,4,3,25.5,-0.024134871
18-Jan,556,171613223,287750,280500,0.974804518,2394,123.17,4,3,29,0.020185488
18-Feb,634,211187025,309900,300000,0.968054211,2516.5,123.31,4,3,21.5,0.069518717
18-Mar,695,219457558,295000,291000,0.986440678,2400,123.26,4,3,17,-0.03
18-Apr,756,251764154,299750,300132.5,1.001276063,2430.5,127.08,4,3,11,0.031383162
18-May,866,294358724,310000,310000,1,2455,126.65,4,3,10,0.032877146
18-Jun,953,330764108,317201,316500,0.997790045,2450,129.15,4,3,12,0.020967742
18-Jul,940,323569183,319900,318313,0.995039075,2548,127.24,4,3,14,0.005728278
18-Aug,945,334777556,315000,315000,1,2396,131.19,4,3,18,-0.010407995
18-Sep,765,263387081,318900,315000,0.987770461,2414,132.04,4,3,22,0
18-Oct,771,264442866,314900,309600,0.98316926,2391,130.9,4,3,26,-0.017142857
18-Nov,728,249373872,314999.5,309000,0.980953938,2393.5,130.94,4,3,28,-0.001937984
18-Dec,712,250627243,325000,319255,0.982323077,2396,131.31,4,3,35,0.033187702
19-Jan,533,179223945,310990,308000,0.990385543,2350,132.44,3,3,36,-0.035253951
19-Feb,582,196957864,319900,315080,0.984932791,2445,129.32,4,3,36.5,0.022987013
19-Mar,780,275651522,319950,318324.5,0.994919519,2427.5,133.11,4,3,29,0.010297385
19-Apr,906,319685193,325000,320000,0.984615385,2429,133.96,4,3,22,0.005263497
19-May,1073,392400950,336290,332500,0.988729965,2488,134.63,4,3,24,0.0390625
19-Jun,981,363437998,339127,335000,0.987830518,2582,132.52,4,3,24,0.007518797
19-Jul,1134,412617282,330000,328000,0.993939394,2473,135.22,4,3,23,-0.020895522
19-Aug,1121,409899646,344461,335000,0.972533901,2523,135.02,4,3,28,0.021341463
19-Sep,898,327507640,338000,331840.5,0.981776627,2403.5,137.46,4,3,32,-0.009431343
19-Oct,930,347243017,339000,333873,0.984876106,2490,137.31,4,3,33,0.006124931
19-Nov,773,289887020,343500,335000,0.975254731,2427,137.25,4,3,36,0.003375535
19-Dec,851,314518835,340000,335000,0.985294118,2508,135.47,4,3,43,0
20-Jan,563,205702265,340000,331370,0.974617647,2476,137.38,4,3,37,-0.010835821
20-Feb,701,268717516,349000,343900,0.985386819,2500,136.97,4,3,34,0.037812717
20-Mar,882,343946757,349900,345000,0.985995999,2486,139.05,4,3,22.5,0.003198604
20-Apr,786,299512229,348715,349900,1.00339819,2495,141.14,4,3,12,0.014202899
20-May,952,352615516,334710.5,334600,0.999669864,2341.5,141.85,4,3,15,-0.043726779
